YPLLRate,HealthPoorPct,LBWPct,ObeseAdultsPct,DrinkExcPct,HSGradRate,UnemployedPct,ViolsCrimeAnlAvg,WaterViol,DistressFreqPhysPct,HIVRate,FoodHealthLimAccPct,IncHousehldMedian,HomeownersPct
9327.654825,26.76711454,9.45945946,29.1,12.19343113,81.91489362,3.562777554,139.5,Yes,15.39389649,134.2,14.49397638,38682,68.66139757
11697.11055,20.16134344,9.529553679,36.1,15.59256811,91.53439153,3.766168799,77,No,13.18645974,241,6.710451164,47205,75.69685707
10576.88769,26.3945723,7.320872274,44.5,12.72204331,97.08737864,3.461668355,20.5,Yes,15.10852742,110.2,20.69111869,40199,68.52433281
9088.758962,22.98525,7.910812462,28.6,14.55546734,88.03986711,4.08087782,183.5,No,13.94319654,117.2,7.313660568,45596,72.12643678
11560.77239,20.42463077,7.466340269,34.5,13.51724725,97.03703704,5.545286507,29.5,No,13.34213396,118.6,0.546053961,37828,79.10477322
11656.85403,25.4560386,9.298998569,43,13.5387336,88.8,6.152782579,120,Yes,15.18829358,263,10.40398796,36573,69.35192781
12661.11866,25.73728349,12.84810127,40.8,13.04648318,81.37603796,5.287536521,719,No,14.98340992,477.1,7.101934846,38596,62.44949401
9636.567043,24.32237691,7.018255578,39.5,14.2692565,91.4556962,4.528482528,63.5,No,14.32463177,60.4,2.903847696,39381,71.59183674
10166.59111,25.29387321,10.60606061,46.2,11.84701273,92.94117647,5.246295555,12.5,Yes,14.74167197,99.9,9.40762472,35527,76.63518713
11413.88336,20.94174644,8.488458675,32.3,14.63436095,88.70292887,3.922426363,38,Yes,13.54793803,49.8,15.56016189,40308,66.74322462
10547.99974,29.15804266,13.54466859,39.4,12.71141466,80.2631579,4.833733288,28.5,Yes,16.29689365,616.6,27.32623752,28080,57.69689738
9839.758897,24.86347965,9.218203034,32.6,15.39557162,94.69026549,4.305864885,21.5,No,13.63213699,339.2,16.78348094,44951,74.59815547
10228.89219,24.33681544,8.333333333,37.8,13.22499882,85.03937008,5.268915223,18,Yes,14.48984289,209.5,4.910533527,43559,72.31617647
9882.187914,22.27888198,10.59530311,32.8,14.09908409,91.93083574,4.034746828,82,Yes,13.94223559,65.2,4.9134865,41471,71.77457467
9809.034108,18.91173354,7.753357753,43,15.84128581,90.64327485,3.210941423,244,Yes,11.94261431,97.5,6.637153617,56651,68.87747506
12677.61936,21.94536858,6.492589979,34.7,14.5811263,87.90697674,2.868300566,29.5,No,14.22625598,104.3,12.04801734,42674,78.36965295
10926.86556,19.77407312,7.649769585,28.8,13.28250752,92.43697479,4.134644943,55.5,Yes,13.68504834,105.1,6.715209725,36581,78.87239466
11702.84016,22.7213858,9.910128735,34.3,13.59145019,87.4,4.816955684,234.5,Yes,14.08475133,295.3,13.71180457,42162,63.71507046
13687.33321,27.27044036,11.11361587,40.9,12.77043892,86.58536585,5.682467162,432,Yes,15.39474081,204,7.248402406,36718,56.40099479
19434.79796,28.112733,12.03007519,38.5,11.09457664,90,4.333576111,27.5,Yes,16.28470975,260.5,6.340594418,32922,59.95189417
7411.651791,21.74415188,6.711409396,29,12.61821602,93.10344828,4.808959157,20,Yes,13.65514036,89.7,11.19482589,38318,82.63759638
10608.8897,25.58941012,10.44992743,35.6,12.41977329,92.92929293,3.542762247,17,Yes,14.83112715,113.7,14.33457232,37626,68.05933999
9295.993347,21.74563842,6.08365019,32,13.24636001,79.66101695,3.381642512,25,Yes,13.73143836,88.4,21.32055453,36078,88.20282856
10901.71861,27.01047983,10.23136247,38.1,12.15617225,90.87591241,4.654023578,113,No,16.13443456,253.7,13.61073697,37624,68.16509199
8988.626255,20.41440341,8.398950131,33.3,14.61265241,90.97744361,4.166666667,53,Yes,13.20069551,103.7,6.273630648,45342,80.09708738
14527.6997,32.867584,12.50596659,42.8,10.05838221,86.07142857,6.144067797,145.5,Yes,17.37135284,309.8,31.0328857,29945,48.19951987
7648.622126,22.1600246,7.483870968,33.6,14.33172554,87.20930233,4.159811986,15.5,Yes,14.06439948,65.5,10.98576775,41534,77.18073971
13236.95245,23.6238212,9.218891916,41.7,14.25844127,82.1192053,3.846528386,79,No,14.82373937,110.5,19.07090327,37370,63.47356151
8879.635212,23.87884729,7.507692308,33.6,12.92156587,90.43062201,4.160939648,60,No,15.16505207,65.4,20.46797112,39048,75.78010727
8349.30871,22.07626162,8.037484231,34.4,16.00428979,91.36302294,4.469273743,235,Yes,14.06477555,99.5,6.158036967,45788,68.39756054
10020.27613,21.51663057,7.667210441,44.4,13.54815403,88.42105263,3.89573991,14,Yes,13.19977285,184.2,19.65973495,43245,72.00731835
9585.965279,19.18877764,10.81208936,33.2,15.28061985,80.41865395,3.487130701,4170,No,11.88291138,563.9,10.42735677,49957,58.44553516
12389.90881,22.10491716,7.179818888,35,13.94958234,93.10344828,3.972125436,51.5,Yes,14.12746294,61.5,14.59191011,37799,72.04560698
8220.188237,15.44554142,7.939387472,30.2,17.40430048,93.08943089,3.106590893,415,Yes,10.78897245,83.8,6.12488525,63677,78.35749014
9227.652308,21.42985336,7.870216306,31.1,14.71017687,87.8296146,3.579500657,808,Yes,13.61713451,198.3,3.719905173,46843,59.73554371
