"","YPLLRate","HealthBadDaysMentAvg","HospPrevRate","Income20thpcntl","InjuryDeathRate","LBWPct","LifeExpect","MammAnnualPct","PhysInactPct","SmokersPct","UnemployedPct","UninsAdultPct","VaccinatedPct"
"3127",6250.809717,3.6303231901,3163,23234,70.106352829,7.7231695085,80.318798637,38,32.3,16.09760664,3.3089311859,18.99122807,40
"3128",10028.537099,3.5149490288,1678,24517,123.47255929,6.8047337278,75.988107965,26,26.7,15.268707934,3.7137681159,16.04,39
"3129",7342.0975515,3.4398348442,2873,22632,100.98637858,7.2790294627,78.159488415,36,23.3,15.028526891,3.9895511755,17.20034617,44
"3130",7383.3769021,3.3502899442,4415,28136,79.149359136,9.5248767369,78.954468242,41,23.4,17.04288647,3.8735791284,13.557222373,47
"3131",5908.9864307,3.401730763,2954,30015,88.329933332,7.9952267303,80.804229737,34,23.5,14.588038108,3.811273103,15.58572608,41
"3132",7576.9110113,3.4808337461,3335,28110,102.35363802,9.3928386092,77.935439329,34,25,17.793200257,4.641695896,16.927274635,44
"3134",5857.2214669,3.4792469015,3425,31402,100.36733078,7.5323475046,80.811196766,40,23.7,13.105719973,4.3746386587,15.76146789,45
"3135",7330.0828896,3.3995155122,5078,23700,117.46009811,8.2491582492,79.16228909,34,24.4,14.149228477,3.8034188034,16.938600258,41
"3136",7429.1153937,3.6847012818,2628,25309,104.19155318,6.6075388027,78.237398773,39,24.3,15.214185127,4.0466876162,15.813709489,40
"3137",6080.2223215,3.0505482948,2929,37979,81.075055232,7.8527607362,82.851608153,29,22.4,13.91299376,4.1979362101,16.090356212,42
"3138",7831.8276549,3.6235540951,2854,30693,88.48111949,9.705248023,77.285777712,37,25,18.073421592,4.2364066194,16.940096328,41
"3140",7330.6835491,3.6698046433,3442,25287,93.907622007,10.110206037,79.245996758,31,27.2,17.212674636,4.3668122271,16.598500341,34
